Risk ID,Category,Risk title,Objectives,Value pillars,Value effects,Level 3 drivers,Processes,Cause,Risk event,Consequences,Accountable executive,Risk owner,Affected units,Time horizon,Velocity,Inherent likelihood,Inherent impact,Residual likelihood,Residual impact,Target likelihood,Target impact,Appetite status,Trend,Status,Enterprise escalation,Treatment decision,Current mitigation,Evidence / rationale
SBD-R117,Strategy execution,Fleet modernization and disciplined divestments slip,OBJ-07; OBJ-04,PIL-03; PIL-05,Multiple; Capital allocation; Cash/NIBD,3.3.6; 3.3.5; 3.5.4,SBD-P06; SBD-P12; SBD-P13,"Delayed sale processes, attachment to underperforming assets, or insufficient capital for replacements.",Aging vessels remain in the portfolio longer than the quality and residual-value plan allows.,"Avoidable opex, downtime, and valuation discounts accumulate versus a modernized peer set.",Trond V. Thomson,,Strategy & BD; Technical & HSEQ; Finance,1–3 years,Medium,3,4,3,3,2,2,Approaching appetite,Stable,Draft,Yes,,,Draft from Project Armada VCDD themes – requires management validation
SBD-R118,Organizational capacity,"Governance, reporting, or scalability gaps impair exit readiness",OBJ-04; OBJ-06,PIL-03,Multiple,3.3.7; 3.3.8,SBD-P12; SBD-P11; SBD-P01,"Incomplete integration of systems, processes, and controls across the combined platform.","Buyers or lenders question auditability, KPI reliability, or management bandwidth at diligence.",Achievable EV/EBITDA multiple and process certainty at exit are reduced.,Trond V. Thomson,,All units; Finance; ICT,1–3 years,Medium,4,4,3,3,2,2,Outside appetite,Stable,Draft,Yes,,,Draft from Project Armada VCDD themes – requires management validation
SBD-R119,Organizational capacity,Key-person dependency limits scalable execution,OBJ-04; OBJ-06,PIL-03,Multiple,3.3.8; 3.3.7,SBD-P12; SBD-P01; SBD-P08,"Critical commercial, technical, or yard relationships concentrate in a small number of individuals.","Loss or overload of key people slows tenders, newbuilds, integration, or farmer relationships.",Growth delivery and perceived institutional quality supporting the multiple are impaired.,Trond V. Thomson,,Executive Management; Strategy & BD; HR,0–12 months,Fast,3,4,3,3,2,2,Approaching appetite,Stable,Draft,Yes,,,Draft from Project Armada VCDD themes – requires management validation
SBD-R120,Sustainability & regulation,Farming-technology or regulatory shifts change vessel-demand mix,OBJ-02; OBJ-05; OBJ-06,PIL-01; PIL-03; PIL-02,Organic EBITDA; Multiple; Investment EBITDA,3.1.2; 3.3.4; 3.3.5,SBD-P02; SBD-P10; SBD-P09,"Faster adoption of closed, semi-closed, land-based, or offshore systems, or abrupt regional policy changes (e.g., open-cage restrictions).","Required vessel specifications, service intensity, or geographic demand diverge from the current fleet and pipeline.",Earnings quality and growth narrative supporting multiple expansion become less credible.,Trond V. Thomson,,Strategy & BD; Technical & HSEQ; Commercial,>3 years,Slow,3,5,3,4,2,3,Approaching appetite,Increasing,Draft,Yes,,,Draft from Project Armada VCDD themes – requires management validation
SBD-R121,Reputation & partnerships,Premium positioning or farmer trust is damaged,OBJ-01; OBJ-02; OBJ-06,PIL-03; PIL-01,Multiple; Organic EBITDA,3.3.3; 3.1.1; 3.1.3,SBD-P05; SBD-P10; SBD-P09,"OUTCOME DRIVERS: service failure, biosecurity, perceived inflexibility hurt premium trust. TRIDENT-SIDE FAILURE MODES: (1) premium promise not specified in service/contract playbook; (2) no early-warning from Ops/HSEQ into Commercial renewals; (3) S&BD growth narrative outruns delivery capability; (4) farmer feedback not closed into offer design; (5) renewal talks ignore recent service incidents.",Customer assessments and renewal propensity deteriorate versus peers.,"Rate uplift, contract coverage, and partnership-driven multiple support weaken.",Trond V. Thomson,,Commercial; Vessel Operations; Technical & HSEQ; Strategy & BD,0–12 months,Fast,2,5,2,4,1,3,Approaching appetite,Stable,Treatment in progress,Yes,Treat,S&BD+Commercial+HSEQ: (1) premium service standard tied to rate tier; (2) incident-to-account alert before renewal; (3) customer trust dashboard (NPS/complaints/incidents) in renewal brief; (4) do not push rate uplift where open critical incidents exist; (5) partnership review cadence with top farmers (SBD-P05/P09/P10).,Operationalized: protect rate uplift by linking trust signals into renewal gates — validate with Commercial/HSEQ.
SBD-R122,Strategy execution,Working-capital and DSO discipline slips as the group scales,OBJ-01; OBJ-06,PIL-04,Cash conversion; Cash/NIBD,3.4.3; 3.4.4; 3.4.1,SBD-P12; SBD-P05; SBD-P13,"Fragmented billing, multi-entity processes, or customer payment-term pressure after growth and integration.",Days sales outstanding and net working capital rise versus the cash-conversion plan.,Free cash flow lags EBITDA and leverage metrics worsen despite reported earnings.,CFO,,Finance; Commercial; Administration,0–12 months,Medium,3,4,3,3,2,2,Approaching appetite,Stable,Draft,Yes,,,Draft from Project Armada VCDD themes – requires management validation
SBD-R123,Fleet & capacity,Maintenance-capex overruns or deferred backlog catch-up,OBJ-01; OBJ-07,PIL-04; PIL-03,Cash conversion; Multiple; Cash/NIBD,3.4.2; 3.4.1; 3.3.5,SBD-P06; SBD-P07; SBD-P12,"Underestimated dry-dock, upgrade, or compliance spend needed to protect uptime and residual value.",Cash maintenance capex exceeds plan or a backlog forces lumpy catch-up spending.,EBITDA-to-cash conversion falls and near-term liquidity headroom tightens.,CFO,,Technical & HSEQ; Vessel Operations; Finance,1–3 years,Medium,3,4,3,3,2,2,Approaching appetite,Stable,Draft,Yes,,,Draft from Project Armada VCDD themes – requires management validation
SBD-R124,Financing & ownership,Cash interest burden rises with rates or leverage,OBJ-06,PIL-04; PIL-05,Cash conversion; Capital allocation; Cash/NIBD,3.4.5; 3.5.5; 3.5.6,SBD-P07; SBD-P13; SBD-P01,"Higher market rates, refinancing margins, or increased NIBD from the growth program.",Cash interest consumes a larger share of operating cash flow than budgeted.,"Free cash flow and covenant headroom compress, limiting distributions and growth optionality.",CFO,,Finance,0–12 months,Fast,3,4,3,3,2,2,Approaching appetite,Increasing,Draft,Yes,,,Draft from Project Armada VCDD themes – requires management validation
SBD-R125,Financing & ownership,Cash-tax leakage exceeds plan across jurisdictions,OBJ-06,PIL-04,Cash conversion; Cash/NIBD,3.4.6; 3.4.1,SBD-P13; SBD-P01,"Cross-border structure, limited loss utilization, or changing tax rules in core farming regions.",Cash taxes paid exceed the conversion assumptions embedded in the plan.,Free cash flow and equity value per NOK of EBITDA decline.,CFO,,Finance; Legal & Compliance,1–3 years,Slow,2,3,2,3,2,2,Within appetite,Stable,Draft,No,,,Draft from Project Armada VCDD themes – requires management validation
SBD-R126,Capital allocation,Growth CAPEX timing mismatches cash generation,OBJ-03; OBJ-06,PIL-04; PIL-05,Cash conversion; Capital allocation; Cash/NIBD,3.4.1; 3.5.1; 3.5.3,SBD-P07; SBD-P04; SBD-P13,Front-loaded newbuild progress payments before associated TC cash flows commence.,Operating cash after maintenance is insufficient to fund committed growth without incremental debt.,Leverage spikes and cash conversion optics deteriorate during the investment cycle.,CFO,,Finance; Strategy & BD,1–3 years,Medium,4,4,3,3,2,2,Approaching appetite,Stable,Draft,Yes,,,Draft from Project Armada VCDD themes – requires management validation
SBD-R127,Data & assumptions,Cash-conversion forecasting and KPI ownership remain weak,OBJ-01; OBJ-06,PIL-04,Cash conversion; Cash/NIBD,3.4.1; 3.4.3; 3.4.4,SBD-P12; SBD-P13; SBD-P01,"EBITDA-centric reporting without equally rigorous freecash bridges, owners, and variance routines.",Management detects cash shortfalls late relative to EBITDA performance.,Corrective actions lag and exit diligence questions cash quality versus earnings quality.,CFO,,Finance; Strategy & BD,0–12 months,Fast,3,3,3,3,2,2,Approaching appetite,Stable,Draft,No,,,Draft from Project Armada VCDD themes – requires management validation
SBD-R128,Capital allocation,Capital deployed to lower risk-adjusted uses than available alternatives,OBJ-03; OBJ-06,PIL-05; PIL-02,Capital allocation; Investment EBITDA; Cash/NIBD,3.5.1; 3.5.2; 3.5.3,SBD-P03; SBD-P04; SBD-P07; SBD-P13,"Incomplete ranking of organic investment, M&A, debt reduction, and distributions under binding capital constraints.",Cash is allocated to projects or hold decisions with inferior risk-adjusted equity-value creation.,ROIC and equity value per NOK deployed fall short of the capital-allocation mandate.,Trond V. Thomson,,Strategy & BD; Finance,1–3 years,Medium,3,4,3,3,2,2,Approaching appetite,Stable,Draft,Yes,,,Draft from Project Armada VCDD themes – requires management validation
SBD-R129,Capital allocation,ROIC on growth investments stays below cost of capital,OBJ-03,PIL-05; PIL-02,Capital allocation; Investment EBITDA; Cash/NIBD,3.5.2; 3.2.1; 3.5.1,SBD-P04; SBD-P07; SBD-P13,"Optimistic underwriting, post-investment cost overrun, or weaker realized utilization and rates.",Portfolio ROIC on recent growth CAPEX remains below hurdle after stabilization.,Balance-sheet capacity is consumed without commensurate equity-value creation.,Trond V. Thomson,,Strategy & BD; Finance,1–3 years,Slow,3,5,3,4,2,3,Outside appetite,Stable,Draft,Yes,,,Draft from Project Armada VCDD themes – requires management validation
SBD-R130,Financing & ownership,NIBD and leverage exceed target band during growth,OBJ-06,PIL-05; PIL-04,Capital allocation; Cash conversion; Cash/NIBD,3.5.5; 3.5.6; 3.5.3,SBD-P07; SBD-P13; SBD-P01,"Simultaneous newbuild commitments, softer cash conversion, or delayed EBITDA ramp from deliveries.",Net interest-bearing debt / EBITDA and related metrics breach internal targets or approach covenants.,"Financing flexibility, distributions, and exit optionality are constrained.",CFO,,Finance; Strategy & BD,0–12 months,Fast,4,5,3,4,2,3,Outside appetite,Increasing,Draft,Yes,,,Draft from Project Armada VCDD themes – requires management validation
SBD-R131,Financing & ownership,Liquidity or covenant headroom becomes insufficient,OBJ-06,PIL-05,Capital allocation; Cash/NIBD,3.5.6; 3.5.7; 3.5.5,SBD-P07; SBD-P09; SBD-P13,"Undrawn facility limits, progress-payment peaks, or EBITDA shortfalls versus covenant definitions.",Available liquidity or covenant headroom falls below Board risk tolerance.,"Emergency refinancing, forced asset sales, or restricted investment capacity may follow.",CFO,,Finance,0–12 months,Fast,3,5,2,4,2,3,Outside appetite,Stable,Draft,Yes,,,Draft from Project Armada VCDD themes – requires management validation
SBD-R132,Fleet & capacity,Disposal of underperforming assets is delayed or value-destructive,OBJ-07; OBJ-03,PIL-05; PIL-03,Capital allocation; Multiple; Cash/NIBD,3.5.4; 3.3.6; 3.5.1,SBD-P06; SBD-P13; SBD-P03,"Thin second-hand markets, optimistic hold cases, or process delays on identified non-core vessels.",Underperforming assets remain on the balance sheet longer than the portfolio plan.,"Capital stays trapped, ROIC is diluted, and modernization narrative for the multiple weakens.",Trond V. Thomson,,Strategy & BD; Finance; Technical & HSEQ,1–3 years,Medium,3,3,3,3,2,2,Approaching appetite,Stable,Draft,No,,,Draft from Project Armada VCDD themes – requires management validation
SBD-R133,Financing & ownership,Refinancing or financing flexibility is constrained at need,OBJ-06,PIL-05,Capital allocation; Cash/NIBD,3.5.7; 3.5.6; 3.5.5,SBD-P01; SBD-P07; SBD-P13,"Credit-market tightness, vessel-collateral perceptions, or ownership/exit-timing uncertainty.","New facilities, amendments, or bond/bank capacity are unavailable on acceptable terms when required.",Growth investments pause and exit readiness suffers from balance-sheet inflexibility.,CFO,,Finance; Strategy & BD,1–3 years,Medium,3,5,3,4,2,3,Approaching appetite,Stable,Draft,Yes,,,Draft from Project Armada VCDD themes – requires management validation
SBD-R134,Strategy execution,Debt reduction versus growth trade-offs lack a binding decision rule,OBJ-03; OBJ-06,PIL-05,Capital allocation; Cash/NIBD,3.5.3; 3.5.1; 3.5.2,SBD-P01; SBD-P13; SBD-P07,Unclear Board thresholds for when to delever versus fund accretive projects under stress scenarios.,Ad hoc capital choices oscillate between over-investment and excessive conservatism.,Either leverage risk rises or value-accretive opportunities are systematically forgone.,CFO,,Finance; Strategy & BD; Executive Management,0–12 months,Medium,3,4,3,3,2,2,Approaching appetite,Stable,Draft,Yes,,,Draft from Project Armada VCDD themes – requires management validation
